CUPS;Date;Hour;AE_kWh
RandomCups;04/06/2021;4;0,294
RandomCups;04/06/2021;5;0,248
RandomCups;04/06/2021;6;0,018
RandomCups;04/06/2021;7;0,319
RandomCups;04/06/2021;8;0,119
RandomCups;04/06/2021;9;0,275
RandomCups;04/06/2021;10;0,249
RandomCups;04/06/2021;11;0,152
RandomCups;04/06/2021;12;0,439
RandomCups;04/06/2021;13;0,032
RandomCups;04/06/2021;14;0,461
RandomCups;04/06/2021;15;0,322
RandomCups;04/06/2021;16;0,049
RandomCups;04/06/2021;17;0,054
RandomCups;04/06/2021;18;0,179
RandomCups;04/06/2021;19;0,220
RandomCups;04/06/2021;20;0,196
RandomCups;04/06/2021;21;0,034
RandomCups;04/06/2021;22;0,353
RandomCups;04/06/2021;23;0,368
RandomCups;04/06/2021;24;0,449
RandomCups;05/06/2021;1;0,259
RandomCups;05/06/2021;2;0,229
RandomCups;05/06/2021;3;0,402
RandomCups;05/06/2021;4;0,267
RandomCups;05/06/2021;5;0,303
RandomCups;05/06/2021;6;0,496
RandomCups;05/06/2021;7;0,493
RandomCups;05/06/2021;8;0,074
RandomCups;05/06/2021;9;0,345
RandomCups;05/06/2021;10;0,177
RandomCups;05/06/2021;11;0,139
RandomCups;05/06/2021;12;0,276
RandomCups;05/06/2021;13;0,157
RandomCups;05/06/2021;14;0,263
RandomCups;05/06/2021;15;0,368
RandomCups;05/06/2021;16;0,265
RandomCups;05/06/2021;17;0,175
RandomCups;05/06/2021;18;0,102
RandomCups;05/06/2021;19;0,384
RandomCups;05/06/2021;20;0,181
RandomCups;05/06/2021;21;0,120
RandomCups;05/06/2021;22;0,448
RandomCups;05/06/2021;23;0,255
RandomCups;05/06/2021;24;0,086
RandomCups;06/06/2021;1;0,288
RandomCups;06/06/2021;2;0,442
RandomCups;06/06/2021;3;0,034
RandomCups;06/06/2021;4;0,235
RandomCups;06/06/2021;5;0,145
RandomCups;06/06/2021;6;0,076
RandomCups;06/06/2021;7;0,462
RandomCups;06/06/2021;8;0,183
RandomCups;06/06/2021;9;0,207
RandomCups;06/06/2021;10;0,261
RandomCups;06/06/2021;11;0,341
RandomCups;06/06/2021;12;0,268
RandomCups;06/06/2021;13;0,013
RandomCups;06/06/2021;14;0,207
RandomCups;06/06/2021;15;0,316
RandomCups;06/06/2021;16;0,485
RandomCups;06/06/2021;17;0,445
RandomCups;06/06/2021;18;0,056
RandomCups;06/06/2021;19;0,133
RandomCups;06/06/2021;20;0,446
RandomCups;06/06/2021;21;0,481
RandomCups;06/06/2021;22;0,262
RandomCups;06/06/2021;23;0,123
RandomCups;06/06/2021;24;0,203
RandomCups;07/06/2021;1;0,356
RandomCups;07/06/2021;2;0,235
RandomCups;07/06/2021;3;0,498
RandomCups;07/06/2021;4;0,448
RandomCups;07/06/2021;5;0,016
RandomCups;07/06/2021;6;0,236
RandomCups;07/06/2021;7;0,205
RandomCups;07/06/2021;8;0,114
RandomCups;07/06/2021;9;0,382
RandomCups;07/06/2021;10;0,106
RandomCups;07/06/2021;11;0,298
RandomCups;07/06/2021;12;0,056
RandomCups;07/06/2021;13;0,426
RandomCups;07/06/2021;14;0,081
RandomCups;07/06/2021;15;0,374
RandomCups;07/06/2021;16;0,118
RandomCups;07/06/2021;17;0,057
RandomCups;07/06/2021;18;0,152
RandomCups;07/06/2021;19;0,139
